IMEI,installation_date,uninstallation_date,VIN,license_plate,source,device_model,gps_odometer,latitude,longitude,gps_speed,gps_timestamp,last_header_gps,can_odometer,can_horometer,can_odoliter,can_speed,can_timestamp,last_header_can,has_gps_data,has_can_data,last_update_utc
867162029803301,,,WDDMH0AB4DJ165999,GTVP96,WICAR,GV300W,111869,-33.227745,-70.668274,0,2026-05-30T06:19:48Z,HBD,,,,,,,true,false,2026-05-30T10:36:56Z
863457051704607,2023-07-17T16:21:10Z,,9BM958264PB301121,301121,COPILOTO,GV300W,50402,-22.177557,-68.881574,0,2026-05-30T10:30:55Z,INF,51986,3389.540000,24536.430000,0,2026-05-30T09:30:55Z,G9,true,true,2026-05-30T10:37:50Z
863457050153509,,,W1K3F8HB0NN289266,SFDL82,WICAR,GV300W,42844,-33.412865,-70.588446,6,2026-05-25T22:27:06Z,HBD,,,,,,,true,false,2026-05-30T10:40:59Z
864002070834073,2026-04-09T00:00:00Z,,W1NKM5BB9RU058163,TYTL59,WICAR,GV58LAU,14326,-33.565287,-70.725762,0,2026-05-30T10:24:41Z,HBD,,,,,,,true,false,2026-05-30T10:39:00Z
869671070592983,2024-10-11T11:47:44Z,,W1T963425SB383414,TYZH96,COPILOTO,GV300W,110714,-32.930038,-71.459228,0,2026-05-30T02:10:45Z,DAT,110714,2373.650000,36258.400000,0,2026-05-30T02:10:06Z,G9,true,true,2026-05-30T02:10:45Z
869671070576507,2025-06-09T01:25:08Z,,W1T964231S0798107,VFHP28,COPILOTO,GV300W,0,-20.806434,-70.194183,0,2026-05-30T10:40:11Z,FRI,11781,618.550000,6583.430000,0,2026-04-28T14:23:48Z,DB,true,true,2026-05-30T10:40:11Z
866314060273974,,,W1NFD2DB2MA328583,PLBX88,WICAR,GV58LAU,72201,-34.179417,-70.687784,0,2026-05-30T10:26:06Z,HBD,,,,,,,true,false,2026-05-30T10:37:54Z
867162025952342,2023-12-22T18:01:33Z,,9BM634011KB118459,LFJL24,COPILOTO,GV300W,230026,-36.846613,-73.134271,0,2026-05-29T23:30:45Z,PFA,360245,1290.050000,89327.170000,0,2026-05-29T19:26:35Z,G9,true,true,2026-05-29T23:39:19Z
869671070579725,2024-10-09T17:47:52Z,,9BM958264RB350368,TTPF57,COPILOTO,GV300W,10016,-20.954160,-68.709167,0,2026-05-29T22:28:05Z,DAT,10016,659.890000,5875.570000,0,2026-05-29T22:27:49Z,FC,true,true,2026-05-29T22:28:05Z
866314060408281,2024-09-26T18:46:58Z,,WDDXJ7JB1GA011152,HKWL85,WICAR,GV58LAU,48279,-23.711518,-70.430294,0,2026-05-29T01:04:09Z,HBD,,,,,,,true,false,2026-05-30T10:39:33Z
869671070577299,2024-10-07T21:49:37Z,,W1T963425PB306765,306765,COPILOTO,GV300W,105024,-36.812335,-72.978012,0,2026-05-29T21:50:07Z,FRI,105024,2174.500000,30059.600000,0,2026-05-29T16:13:56Z,G9,true,true,2026-05-29T21:50:07Z
866314062188436,,,HESCR1C49SS087773,087773,WICAR,GV58LAU,17661,-33.627798,-71.202200,0,2026-05-30T10:12:57Z,HBD,,,,,,,true,false,2026-05-30T10:38:17Z
863457050143328,,,WDDPK3EA7HF140623,JRWC55,WICAR,GV300W,21796,-33.356271,-70.541902,0,2026-05-30T07:21:11Z,HBD,,,,,,,true,false,2026-05-30T10:39:01Z
863457051065751,2023-06-03T05:56:48Z,,LVCB4L4D2PM002328,SPCG66,COPILOTO,GV300W,162142,-33.393996,-70.621342,24,2025-12-15T15:09:52Z,FRI,167115,,,0,2025-12-15T15:09:19Z,DX,true,true,2025-12-15T15:09:52Z
863457052208673,2024-01-25T17:31:58Z,,9BM634016RB331070,6274,COPILOTO,GV300W,45866,-23.518980,-70.398659,52,2026-05-29T20:57:49Z,FRI,,,,,2026-05-06T05:05:21Z,B-ELECTRONICS,true,true,2026-05-29T20:57:49Z
