IMEI,installation_date,uninstallation_date,VIN,license_plate,source,device_model,gps_odometer,latitude,longitude,gps_speed,gps_timestamp,last_header_gps,can_odometer,can_horometer,can_odoliter,can_speed,can_timestamp,last_header_can,has_gps_data,has_can_data,last_update_utc
863238070327194,,,W1T964016T0823292,0823292,COPILOTO,GV300W,60898,-37.477336,-72.466850,0,2026-07-27T15:28:52Z,FRI,60898,1647.250000,25922.770000,0,2026-07-27T15:28:22Z,DB,true,true,2026-07-27T15:28:52Z
863457050225927,2023-02-21T20:13:34Z,,9BSK6X200L3973646,PGTV13,COPILOTO,GV300W,311666,-33.374204,-70.758475,0,2025-12-23T01:06:40Z,FRI,319206,8132.000000,76802.500000,0,2025-12-22T23:32:18Z,G9,true,true,2025-12-23T01:06:40Z
863238075099418,,,W1K3F8HB7TJ562031,VVVX27,DIMO,SMART 5,,-33.264623,-70.662320,,,,1560,,,0,,,true,true,2026-08-25T16:37:19Z
864002070936795,,,LSFAM11CXTA044506,VPDY65,COPILOTO,GV300W,24043,-34.315872,-70.786431,0,2026-09-15T13:30:13Z,HBD,21125,,,0,,,true,true,2026-09-15T13:54:19Z
869671070575657,2025-05-12T15:15:14Z,,9BM634016SB393526,B393526,COPILOTO,GV300W,10354,-23.529333,-70.390800,0,2026-09-14T16:23:41Z,DAT,10354,255.690000,1851.000000,0,2026-09-14T16:21:14Z,G9,true,true,2026-09-14T16:23:41Z
866314061760862,,,8AC907645VE285389,E285389,COPILOTO,GV58LAU,35,-27.418826,-70.356462,0,2026-09-15T13:02:30Z,HBD,,,,,,,true,false,2026-09-15T13:51:51Z
866314061242499,2025-07-21T19:59:23Z,,W1KVK8BB9SF022887,VFYS87,WICAR,GV58LAU,10532,-33.306140,-70.736392,0,2026-09-11T15:41:41Z,HBD,,,,,,,true,false,2026-09-15T13:52:56Z
G92H093JVZHC,,,8AC907645RE236802,VBQ213,DIVEMOTOR,INTEGRATION,,-15.506887,-70.138092,0,2026-08-20T00:32:08Z,DAT,199740,5185.700000,0.000000,0,2026-08-20T00:32:08Z,DB,true,true,2026-08-20T00:32:08Z
863238070322732,2025-05-23T15:04:31Z,,9BM968403TB416607,VFPT12,COPILOTO,GV300W,57927,-23.766613,-70.305015,0,2026-09-15T13:54:03Z,FRI,57927,1440.050000,17668.950000,0,2026-09-15T13:48:58Z,G9,true,true,2026-09-15T13:54:03Z
869671070576184,2025-04-30T14:57:03Z,,W1T963425SB402270,B402270,COPILOTO,GV300W,120256,-27.301771,-70.444572,89,2026-09-15T13:54:17Z,FRI,120256,2245.050000,37251.900000,89,2026-09-15T13:53:48Z,DB,true,true,2026-09-15T13:54:17Z
866314060256573,2025-03-13T12:32:54Z,,8AC907645PE229432,SRGJ59,WICAR,GV58LAU,92306,-33.462390,-70.716166,0,2026-09-15T13:54:12Z,FRI,,,,,,,true,false,2026-09-15T13:54:12Z
863457051126785,,,W1KAF4CB2PF065582,SPYS79,COPILOTO,GV300W,66649,-33.535257,-70.688048,0,2026-09-15T11:57:30Z,HBD,,,,,,,true,false,2026-09-15T13:53:21Z
867162029063336,,,WDCTG4DB9FJ088846,HDJD64,WICAR,GV300W,46228,-33.393393,-70.581385,0,2026-09-14T22:56:53Z,HBD,,,,,,,true,false,2026-09-15T13:54:22Z
864002070857066,2026-04-06T00:00:00Z,,W1NKM5BB7TU127973,127973,WICAR,GV58LAU,2985,-34.063791,-71.880904,0,2026-09-15T13:47:31Z,HBD,,,,,,,true,false,2026-09-15T13:54:55Z
GAFZCBWFUE7V,,,W1F9HPAD1T0858242,VFD-889,DIVEMOTOR,INTEGRATION,,-16.439570,-73.132591,58,2026-09-14T22:53:18Z,DAT,11332,0.000000,4488.000000,58,2026-09-14T22:53:18Z,DB,true,true,2026-09-14T22:53:18Z
