IMEI,VIN,license_plate,source,device_model,gps_odometer,latitude,longitude,gps_speed,gps_timestamp,last_header_gps,can_odometer,can_horometer,can_odoliter,can_speed,can_timestamp,last_header_can,has_gps_data,has_can_data,last_update_utc
863457051691416,,,,GV300W,91025,-38.752232,-72.604901,0,2026-04-01T09:28:52Z,FRI,,,,,,,true,true,2026-04-01T09:28:52Z
868589060356352,9BM634016RB345600,345600,COPILOTO,GV300W,70041,-20.284621,-70.087362,0,2025-09-09T05:06:09Z,EPS,72138,1392.850000,20442.570000,0,2025-09-09T02:14:47Z,DB,true,true,2025-09-09T05:06:09Z
867162027887777,9BM958154PB266834,266834,COPILOTO,GV300W,65751,-33.413754,-70.609502,3,2026-04-01T09:55:59Z,FRI,69928,6977.210000,28979.330000,14,2026-04-01T09:54:26Z,DB,true,true,2026-04-01T09:55:59Z
867162029356755,W1V907645NP406298,SPBR17,COPILOTO,GV300W,72343,-22.822966,-69.275066,0,2026-03-13T17:20:53Z,GSS,,,,,2026-03-05T03:08:13Z,KA,true,true,2026-03-13T17:20:53Z
G9EP462MXKZM,W1F9HPAD9T0835226,CJC-785,DIVEMOTOR,INTEGRATION,,-14.306032,-75.677383,0,2026-03-31T06:16:35Z,DAT,31140,950.400000,11155.000000,0,2026-03-31T06:16:35Z,DB,true,true,2026-03-31T06:16:35Z
863457051695078,,,,GV300W,44997,-23.660222,-70.396214,0,2026-04-01T09:55:39Z,FRI,,,,,,,true,true,2026-04-01T09:55:39Z
863457050267036,LSFAM11A6KA041714,LKKY39,COPILOTO,GV300W,41375,-36.904972,-73.033680,0,2026-04-01T09:51:54Z,FRI,,,,,0001-01-01T00:00:00Z,,true,true,2026-04-01T09:51:54Z
866314060317003,JL5ASJ6A0SRK30829,K30829,COPILOTO,GV58LAU,52755,-18.445253,-70.284971,0,2026-04-01T09:39:52Z,FRI,,,,,0001-01-01T00:00:00Z,,true,true,2026-04-01T09:39:52Z
863457050652575,W1T964231P0603834,603834,COPILOTO,GV300W,175997,-26.387416,-70.036105,0,2026-03-17T15:29:50Z,DAT,183388,5403.150000,132286.100000,4,2026-03-17T15:29:23Z,DB,true,true,2026-03-17T15:29:50Z
863457051057659,W1T963403P0603797,603797,COPILOTO,GV300W,436387,-23.455474,-70.143975,77,2026-03-31T23:02:40Z,DAT,495059,12606.400000,157979.510000,7,2026-03-31T23:02:27Z,DB,true,true,2026-03-31T23:02:40Z
G91PREXEU7PW,W1FKHLAD7P0649510,EAK-321,DIVEMOTOR,INTEGRATION,,-10.667897,-76.261627,0,2026-03-30T14:07:32Z,DAT,9494,0.000000,6943.000000,28,2026-03-30T14:07:32Z,PA,true,true,2026-03-30T14:07:32Z
866314060280458,W1NFB5KB4SB287777,TVKX72,WICAR,GV58LAU,12154,-33.381648,-70.498299,0,2026-04-01T09:37:45Z,FRI,,,,,0001-01-01T00:00:00Z,,true,true,2026-04-01T09:37:45Z
869671070592025,9BM958154SB372083,B372083,COPILOTO,GV300W,198,-35.445487,-71.643486,17990,2026-04-01T05:24:57Z,FRI,26212,518.250000,3.280000,0,2025-06-23T16:32:44Z,DB,true,true,2026-04-01T05:24:57Z
863457050230125,,,,GV300W,42176,-22.451331,-68.900454,0,2026-04-01T09:54:33Z,FRI,,,,,,,true,true,2026-04-01T09:54:33Z
RC0110CD0602,,,MACHINELINK,Truck Crane 4.0 Protocol,650,-23.053200,-69.142620,0,,,650,,,,,,true,true,2026-03-30T21:32:26Z
863457050628831,W1T964231P0603833,SJFF14,COPILOTO,GV300W,125075,-26.389767,-70.035226,0,2026-03-17T21:26:30Z,BPL,134278,7372.100000,86160.960000,1,2026-03-15T20:51:11Z,KA,true,true,2026-03-17T21:26:30Z
863457050626900,,,,GV300W,75731,-33.351767,-70.510777,0,2026-04-01T09:35:10Z,FRI,,,,,,,true,true,2026-04-01T09:35:10Z
863457050970530,,,,GV300W,163106,-41.077608,-72.635268,0,2026-04-01T09:20:55Z,FRI,,,,,,,true,true,2026-04-01T09:20:55Z
869671070584527,W1T964018R0748391,0748391,COPILOTO,GV300W,198,-38.937774,-72.620727,17990,2026-04-01T05:44:39Z,FRI,4360,126.400000,2146.100000,94,2025-06-11T22:43:53Z,E3,true,true,2026-04-01T05:44:39Z
863457051069522,LSFAM11A2PA064477,064477,WICAR,GV300W,51314,-20.994668,-68.842706,0,2026-04-01T09:26:56Z,FRI,,,,,0001-01-01T00:00:00Z,,true,true,2026-04-01T09:26:56Z
863457051061727,LSKG4GC10NA053180,SSBP56,,GV300W,101637,-33.629110,-70.619891,0,2025-08-26T06:51:28Z,FRI,,,,,,,true,true,2025-08-26T06:51:28Z
869671070591266,9BM634016RB345559,B345559,COPILOTO,GV300W,55684,-34.979141,-71.239570,0,2026-04-01T09:55:56Z,FRI,55684,2777.380000,22576.730000,0,2026-04-01T09:54:42Z,DB,true,true,2026-04-01T09:55:56Z
863457050148699,W1NKM0FB2PF008798,TSJP54,WICAR,GV300W,38403,-33.382323,-70.591604,18,2026-03-23T21:21:17Z,FRI,,,,,0001-01-01T00:00:00Z,,true,true,2026-03-23T21:21:17Z
866314061240154,W1K3F8HB7PN317079,TFXG59,WICAR,GV58LAU,49450,-33.443113,-70.633384,11,2026-04-01T09:55:58Z,FRI,,,,,0001-01-01T00:00:00Z,,true,true,2026-04-01T09:55:58Z
867162029150448,,,,GV300W,,-33.040816,-71.369179,0,2026-04-01T09:50:45Z,GSS,,,,,,,true,true,2026-04-01T09:50:45Z
863457051713558,W1NFD0KB8RB244440,TTJV96,COPILOTO,GV300W,12417,-38.738000,-72.616681,0,2026-04-01T09:54:05Z,FRI,,,,,0001-01-01T00:00:00Z,,true,true,2026-04-01T09:54:05Z
863457051691630,,,,GV300W,84577,-33.478528,-70.681009,21,2026-04-01T09:55:45Z,FRI,,,,,,,true,true,2026-04-01T09:55:45Z
869671072169749,,,,GV300W,0,-33.296199,-70.753250,0,2026-04-01T09:52:34Z,FRI,,,,,,,true,true,2026-04-01T09:52:34Z
869671070595465,W1T964018R0737669,0737669,COPILOTO,GV300W,43686,-32.902648,-70.268974,0,2026-04-01T09:55:43Z,FRI,43686,1330.850000,18772.690000,0,2026-04-01T08:25:08Z,G9,true,true,2026-04-01T09:55:43Z
867162029147345,,,,GV300W,133645,-34.229060,-70.777941,0,2026-04-01T09:49:01Z,FRI,,,,,,,true,true,2026-04-01T09:49:01Z
G9M5YM0NVC3T,3AKJG3DV0SDVV2124,VDS-782,DIVEMOTOR,INTEGRATION,,-16.564125,-71.596298,8,2026-03-30T18:54:30Z,DAT,95229,2602.900000,41613.000000,8,2026-03-30T18:54:30Z,DB,true,true,2026-03-30T18:54:30Z
867162029796166,,,,GV300W,59882,-33.393780,-70.529435,0,2026-04-01T09:09:26Z,FRI,,,,,,,true,true,2026-04-01T09:09:26Z
G9MN8P3UU7X1,W1F9HPAD3P0629048,VCJ-782,DIVEMOTOR,INTEGRATION,,-17.231432,-70.926117,0,2026-03-31T00:06:12Z,DAT,145304,3941.200000,75252.000000,0,2026-03-31T00:06:12Z,DA,true,true,2026-03-31T00:06:12Z
GADBRU973UU6,W1FNHLADXT0867979,W1FNHLADXT0867979,DIVEMOTOR,INTEGRATION,,-12.209462,-76.985718,0,2026-03-13T13:11:57Z,DAT,723,0.000000,222.000000,0,2026-03-13T13:11:55Z,FI,true,true,2026-03-13T13:11:57Z
863457051181186,HJRPBGFAXRB164323,TLXJ33,COPILOTO,GV300W,45142,-33.594780,-70.852811,0,2026-04-01T09:15:26Z,FRI,,,,,0001-01-01T00:00:00Z,,true,true,2026-04-01T09:15:26Z
869671070586027,W1T963424SB382495,B382495,COPILOTO,GV300W,25936,-33.333095,-70.728767,0,2026-03-31T19:57:39Z,DAT,25936,560.850000,7258.800000,0,2026-03-31T19:57:35Z,DB,true,true,2026-03-31T19:57:39Z
G9NSBNHVHDK4,W1FNHLADXS0764639,TES-865,DIVEMOTOR,INTEGRATION,,-17.019304,-71.721756,1,2026-03-31T05:12:57Z,DAT,38675,0.000000,43603.000000,1,2026-03-31T05:12:57Z,DB,true,true,2026-03-31T05:12:57Z
867162029130812,3AKJHPDV6NSNJ2957,STDJ18,COPILOTO,GV300W,272522,-34.214230,-70.767359,0,2026-04-01T09:55:51Z,FRI,276240,6349.750000,113877.000000,0,2026-04-01T09:54:51Z,DB,true,true,2026-04-01T09:55:51Z
863457052142393,W1T963424R0687642,RKGB33,COPILOTO,GV300W,149213,-27.344744,-70.205364,74,2026-04-01T09:00:15Z,FRI,227148,4229.350000,94040.600000,69,2026-04-01T08:58:45Z,DB,true,true,2026-04-01T09:00:15Z
866314061265128,9BM958170SB379868,B379868,COPILOTO,GV58LAU,10653,-39.864987,-73.189592,0,2026-03-31T23:48:46Z,FRI,,,,,0001-01-01T00:00:00Z,,true,true,2026-03-31T23:48:46Z
863457051083127,3ALHCYF38NDNE7929,SVLX69,COPILOTO,GV300W,106579,-39.796957,-73.202110,0,2026-04-01T09:07:03Z,FRI,107798,3556.050000,38491.000000,3,2026-04-01T08:06:39Z,KA,true,true,2026-04-01T09:07:03Z
866314060261425,9BM958154SB400325,B400325,COPILOTO,GV58LAU,68611,-33.371300,-70.702926,0,2026-04-01T09:51:52Z,FRI,,,,,0001-01-01T00:00:00Z,,true,true,2026-04-01T09:51:52Z
866314060322979,,,,GV58LAU,37518,-33.508510,-70.732950,0,2026-04-01T09:24:45Z,FRI,,,,,,,true,true,2026-04-01T09:24:45Z
G92VNVKPU7C7,W1FKHLAD4R0718477,W1FKHLAD4R0718477,DIVEMOTOR,INTEGRATION,,-6.756143,-79.833672,0,2026-03-31T00:26:48Z,DAT,112161,0.000000,45425.000000,0,2026-03-31T00:26:48Z,DB,true,true,2026-03-31T00:26:48Z
866314061280754,9BM951104SB365689,B365689,COPILOTO,GV58LAU,4256,-33.457732,-70.928115,0,2026-04-01T09:56:05Z,FRI,,,,,0001-01-01T00:00:00Z,,true,true,2026-04-01T09:56:05Z
863457050139383,,,,GV300W,13030,-33.359308,-70.512520,0,2026-04-01T08:58:47Z,FRI,,,,,,,true,true,2026-04-01T08:58:47Z
863238070321239,,,,,10818,-21.049411,-68.858970,20,2026-04-01T09:24:46Z,FRI,10818,665.000000,8294.000000,17,2026-04-01T09:24:24Z,DB,true,true,2026-04-01T09:24:46Z
863457050146958,,,,GV300W,38440,-33.283284,-70.630159,0,2026-04-01T09:07:18Z,FRI,,,,,,,true,true,2026-04-01T09:07:18Z
863457051061263,JL6CJH6A8PK009317,009317,WICAR,GV300W,25074,-40.571044,-73.127052,0,2026-03-05T11:41:50Z,FRI,,,,,0001-01-01T00:00:00Z,,true,true,2026-03-05T11:41:50Z
866314062190259,W1N4N8HB8TJ802827,VLYZ82,WICAR,GV58LAU,2905,-33.312750,-70.658424,0,2026-04-01T09:29:18Z,FRI,,,,,0001-01-01T00:00:00Z,,true,true,2026-04-01T09:29:18Z
866314061159214,9BM951501TB415817,B415817,COPILOTO,GV58LAU,28367,-20.907505,-69.632167,0,2026-03-31T17:33:08Z,FRI,,,,,0001-01-01T00:00:00Z,,true,true,2026-03-31T17:33:08Z
867162025928250,WDB964414J0164898,KHSP72,COPILOTO,GV300W,237138,-33.344994,-71.357963,0,2026-04-01T09:46:46Z,FRI,473850,9747.500000,231607.530000,0,2026-01-19T20:59:13Z,KA,true,true,2026-04-01T09:46:46Z
863457050111788,W1N0J1FB8MF971450,RCLL59,WICAR,GV300W,104368,-33.511083,-70.578036,0,2026-04-01T09:18:58Z,FRI,,,,,0001-01-01T00:00:00Z,,true,true,2026-04-01T09:18:58Z
G9UAW7UE2CFK,9BM958154RB350863,TLWP47,PESCO RENTAL,PESCO RENTAL,,-33.375400,-70.711845,0,2026-03-30T15:06:01Z,DAT,63506,0.000000,0.000000,0,2026-03-30T15:06:01Z,DA,true,true,2026-03-30T15:06:01Z
863457050291226,W1N0J8AB7NG014769,RSKS13,WICAR,GV300W,17051,-38.738837,-72.650077,0,2026-04-01T05:37:57Z,GSS,,,,,0001-01-01T00:00:00Z,,true,true,2026-04-01T05:37:57Z
863457050151388,,,,GV300W,37603,-33.337297,-70.554215,0,2026-04-01T09:30:18Z,FRI,,,,,,,true,true,2026-04-01T09:30:18Z
869671070578255,W1T964231S0788565,0788565,COPILOTO,GV300W,924,-33.296985,-70.752593,2,2026-03-30T16:41:31Z,FRI,924,28.250000,331.660000,1,2026-03-30T16:41:28Z,DA,true,true,2026-03-30T16:41:31Z
