IMEI,installation_date,uninstallation_date,VIN,license_plate,source,device_model,gps_odometer,latitude,longitude,gps_speed,gps_timestamp,last_header_gps,can_odometer,can_horometer,can_odoliter,can_speed,can_timestamp,last_header_can,has_gps_data,has_can_data,last_update_utc
863457051062287,,,LSFAM11A6NA094921,STGC70,COPILOTO,GV300W,52727,-23.612555,-70.391466,0,2026-06-19T11:57:36Z,HBD,,,,,,,true,false,2026-06-19T12:35:54Z
869671070592710,,,3ALHG3DV6TDWS8568,VRPC39,COPILOTO,GV300W,0,-23.065933,-69.087158,0,2026-06-18T19:01:21Z,DAT,2536,100.350000,1031.500000,0,2026-06-16T16:59:03Z,FE,true,true,2026-06-18T19:01:21Z
DIMO996453434,,,LSFAM11A4SA056227,056227,,,,-33.460137,-70.714340,,,,3323,,,0,,,true,true,2026-04-17T14:06:01Z
867162029809076,,,W1KAF8HB9PF078278,TSJP52,WICAR,GV300W,14218,-32.949729,-71.538702,7,2026-06-19T00:49:53Z,HBD,,,,,,,true,false,2026-06-19T12:37:38Z
868589060173401,2024-06-24T16:24:47Z,,9BM958264SB365502,365502,COPILOTO,GV300W,25694,-33.441906,-70.625398,0,2026-06-19T12:37:30Z,FRI,30362,1062.410000,13509.330000,0,2026-06-18T14:18:25Z,B-ELECTRONICS,true,true,2026-06-19T12:37:30Z
863457052208913,2024-01-30T16:08:06Z,,9BM958434PB278347,278347,COPILOTO,GV300W,285703,-32.756378,-71.477038,0,2026-06-19T12:37:48Z,HBD,294120,5569.290000,112020.370000,0,2026-06-19T12:37:24Z,DB,true,true,2026-06-19T12:38:15Z
866314060314893,2024-01-05T14:51:24Z,,W1K3F5BB4PN293752,293752,WICAR,GV58LAU,75013,-33.222607,-70.655426,0,2026-06-19T11:26:20Z,HBD,,,,,,,true,false,2026-06-19T12:36:25Z
869671070574635,2024-11-27T18:41:08Z,,MEC2047R5SP162147,P162147,COPILOTO,GV300W,85241,-33.646541,-70.885620,0,2026-06-19T12:36:59Z,FRI,85241,1440.470000,0.050000,0,2026-06-18T20:48:36Z,G9,true,true,2026-06-19T12:36:59Z
DIMO990784854,,,HJRPBGGB3TB030851,030851,,,,-33.388083,-70.763567,,,,12496,,,0,,,true,true,2026-04-06T19:01:13Z
864002070889416,2026-04-22T00:00:00Z,,W1NFD0KB6TB582796,582796,WICAR,GV58LAU,3150,-32.753374,-70.710178,0,2026-06-19T11:43:29Z,HBD,,,,,,,true,false,2026-06-19T12:35:02Z
866314061330070,2025-08-19T02:54:04Z,,W1NFB3DB7SB455106,VKVC38,COPILOTO,GV58LAU,10299,-33.235530,-70.719047,0,2026-06-19T12:16:18Z,HBD,,,,,,,true,false,2026-06-19T12:36:45Z
866314062208952,,,9BM951501TB433193,VRKJ87,COPILOTO,GV58LAU,9956,-18.465479,-70.300894,0,2026-06-19T12:19:11Z,HBD,,,,,,,true,false,2026-06-19T12:37:16Z
