IMEI,installation_date,uninstallation_date,VIN,license_plate,source,device_model,gps_odometer,latitude,longitude,gps_speed,gps_timestamp,last_header_gps,can_odometer,can_horometer,can_odoliter,can_speed,can_timestamp,last_header_can,has_gps_data,has_can_data,last_update_utc
866314061240519,2025-06-18T21:03:02Z,,9BM951501TB416257,B416257,COPILOTO,GV58LAU,42754,-23.565134,-68.409316,14,2026-09-02T13:01:19Z,FRI,,,,,,,true,false,2026-09-02T13:01:19Z
G9AW6F1JJ3ZA,,,WDB906633DS828975,AJX-848,DIVEMOTOR,INTEGRATION,,-12.075046,-77.007988,43,2026-09-01T18:29:10Z,DAT,142249,0.000000,0.000000,43,2026-09-01T18:29:10Z,DB,true,true,2026-09-01T18:29:10Z
869671070578891,2025-05-27T18:49:00Z,,9BM951511TB411215,B411215,COPILOTO,GV300W,129272,-29.901439,-71.244567,0,2026-09-02T13:01:04Z,FRI,129272,1831.500000,33741.570000,0,2026-09-02T12:30:55Z,G9,true,true,2026-09-02T13:01:04Z
863457051068441,2023-06-09T04:56:37Z,,LVCB4L4D3PM002256,SPCG71,COPILOTO,GV300W,121916,-33.388415,-70.622540,0,2025-12-16T16:24:14Z,FRI,132922,,,0,2025-12-16T15:00:13Z,DX,true,true,2025-12-16T16:24:14Z
868589060310631,2024-04-26T20:34:52Z,,W1T964231R0719620,TGCD28,COPILOTO,GV300W,19699,-23.739649,-70.300124,0,2026-09-01T13:54:18Z,HBD,21474,2474.300000,7986.220000,0,2026-09-01T13:36:20Z,G9,true,true,2026-09-01T14:25:48Z
867162029344843,2020-12-29T03:00:00Z,,3AKJHPDV2MSMV2951,PLLF18,COPILOTO,GV300W,703345,-34.095879,-70.519703,0,2026-08-25T18:33:52Z,HBD,707569,11666.750000,297916.500000,73,2026-08-26T23:39:41Z,DA,true,true,2026-09-01T15:32:46Z
867162027899608,2021-07-09T04:00:00Z,,3AKJHPDVXNSMY9926,RWYX10,COPILOTO,GV300W,429984,-23.739944,-70.298613,0,2026-09-02T03:43:21Z,HBD,431386,7936.200000,146323.000000,0,2026-09-02T01:43:27Z,KA,true,true,2026-09-02T04:09:56Z
864002070980207,,,W1N4N8HB3VJ872982,872982,COPILOTO,GV300W,988,-33.373314,-70.519831,0,2026-09-02T12:15:16Z,HBD,,,,,,,true,false,2026-09-02T13:00:35Z
866314061262356,,,9BM951501TB436896,436896,COPILOTO,GV58LAU,4382,-38.745694,-72.590672,0,2026-09-01T22:01:52Z,INF,,,,,,,true,false,2026-09-01T23:13:51Z
868589060172551,2024-07-17T13:11:11Z,,W1T963403RB348317,TTJL84,COPILOTO,GV300W,201776,-33.673066,-70.743558,0,2026-04-26T16:08:42Z,HBD,204634,3429.900000,69080.510000,0,2026-04-26T14:48:47Z,G9,true,true,2026-04-26T16:42:02Z
863457051705893,2023-07-17T16:28:17Z,,W1T964231P0644104,644104,COPILOTO,GV300W,129456,-37.718972,-72.250154,0,2026-09-02T12:02:32Z,INF,135702,5175.750000,75101.890000,0,2026-09-02T10:02:35Z,KA,true,true,2026-09-02T13:00:19Z
869671070593049,2024-09-11T18:52:04Z,,W1T963425PB293053,293053,COPILOTO,GV300W,169921,-34.600425,-70.977264,3,2026-09-02T13:01:01Z,FRI,169921,4810.550000,50039.800000,0,2026-09-02T13:00:32Z,DA,true,true,2026-09-02T13:01:01Z
863238071585865,,,9BM968114VB464286,B464286,COPILOTO,GV300W,5042,-22.474905,-68.903625,0,2026-08-31T16:15:06Z,FRI,5042,109.750000,1183.210000,0,2026-08-31T16:14:48Z,DB,true,true,2026-08-31T16:15:06Z
863457051085353,2023-05-08T16:18:50Z,,W1T964026R0660121,SXBF-22,COPILOTO,GV300W,337010,-37.786091,-72.482395,0,2026-09-02T12:59:44Z,INF,214747,6010.250000,77861.890000,4,2025-06-07T21:22:00Z,KA,true,true,2026-09-02T13:01:04Z
867162029801859,,,WDD3F8HB9KJ036434,KVZF91,WICAR,GV300W,90627,-36.844666,-73.051187,0,2026-09-02T12:20:02Z,HBD,,,,,,,true,false,2026-09-02T13:01:02Z
